source,destination,path,cost
0,1,0_248_97_368_18_189_1,8
0,1,0_444_493_189_1,8
0,2,0_363_2,5
0,2,0_486_289_276_2,7
0,3,0_444_493_422_283_3,9
0,3,0_491_122_3,10
0,3,0_486_289_418_3,10
0,3,0_271_488_11_3,10
0,3,0_248_97_284_283_3,10
0,3,0_444_388_11_3,10
0,4,0_271_488_184_4,7
0,4,0_10_251_409_4,8
0,5,0_486_242_207_5,6
0,5,0_363_380_5,7
0,5,0_10_380_5,7
0,5,0_486_68_448_207_5,7
0,6,0_248_328_294_335_6,7
0,6,0_444_328_294_335_6,7
0,6,0_486_76_6,7
0,7,0_486_68_297_234_7,8
0,7,0_248_328_294_335_334_7,9
0,7,0_444_57_365_334_7,9
0,7,0_444_328_294_335_334_7,9
0,7,0_271_488_184_334_7,9
0,7,0_118_7,9
0,7,0_271_234_7,9
0,7,0_486_76_334_7,9
0,8,0_444_430_8,6
0,8,0_486_424_430_8,6
0,9,0_444_461_9,6
0,9,0_444_493_142_38_354_9,7
0,9,0_271_63_9,7
0,10,0_10,3
0,10,0_225_81_10,5
0,11,0_271_488_11,5
0,11,0_444_388_11,5
0,12,0_248_379_182_263_12,8
0,12,0_444_67_263_12,8
0,12,0_118_263_12,8
0,13,0_486_289_153_13,7
0,13,0_444_430_13,7
0,13,0_486_424_430_13,7
0,14,0_444_57_365_14,6
0,14,0_486_68_14,6
0,14,0_248_14,6
0,15,0_248_379_182_263_15,8
0,15,0_444_67_263_15,8
0,15,0_118_263_15,8
0,16,0_10_210_476_16,7
0,16,0_486_424_148_16,8
0,17,0_225_81_330_358_17,8
0,17,0_10_81_330_358_17,8
0,18,0_248_97_368_18,6
0,18,0_486_424_425_175_18,8
0,18,0_248_97_479_368_18,8
0,18,0_444_493_189_18,8
0,18,0_444_493_422_229_18,8
0,19,0_486_107_115_19,8
0,19,0_248_97_383_158_310_19,8
0,19,0_486_289_383_158_310_19,8
0,19,0_444_493_422_229_158_310_19,8
0,20,0_486_289_383_72_20,8
0,20,0_248_97_383_72_20,8
0,21,0_486_68_127_194_21,7
0,21,0_486_242_127_194_21,8
0,21,0_248_97_194_21,8
0,21,0_444_493_422_53_21,8
0,21,0_444_493_142_194_21,8
0,22,0_444_493_167_163_22,7
0,22,0_486_76_163_22,8
0,22,0_444_493_422_345_163_22,8
0,23,0_486_475_316_23,7
0,23,0_10_81_330_475_316_23,8
0,23,0_444_493_399_316_23,8
0,23,0_10_210_157_23,8
0,23,0_225_81_330_475_316_23,8
0,24,0_486_424_425_428_24,9
0,24,0_444_493_91_269_24,9
0,25,0_491_110_460_25,9
0,25,0_248_97_479_384_460_25,9
0,25,0_486_475_90_286_25,9
0,26,0_444_493_142_38_26,6
0,26,0_486_463_192_282_26,8
0,27,0_444_493_399_391_27,9
0,27,0_444_493_422_229_391_27,9
0,27,0_444_57_27,9
0,27,0_225_123_391_27,9
0,28,0_444_430_433_28,7
0,28,0_486_424_430_433_28,7
0,29,0_486_463_312_29,7
0,29,0_444_493_167_312_29,8
0,30,0_486_242_207_5_30,10
0,30,0_486_68_448_207_5_30,11
0,30,0_363_380_5_30,11
0,30,0_10_380_5_30,11
0,31,0_444_493_167_163_42_31,7
0,31,0_248_379_182_31,8
0,31,0_486_76_163_42_31,8
0,31,0_271_488_54_173_31,8
0,31,0_444_493_422_345_163_42_31,8
0,32,0_486_242_207_5_32,8
0,32,0_444_493_167_32,8
0,33,0_486_68_297_234_33,7
0,33,0_486_242_207_5_33,7
0,33,0_444_493_422_229_213_33,7
0,34,0_444_461_34,7
0,34,0_486_242_207_5_440_34,8
0,35,0_248_328_256_35,9
0,35,0_444_328_256_35,9
0,35,0_10_251_409_186_35,9
0,35,0_486_289_153_35,9
0,36,0_486_475_452_36,7
0,36,0_10_81_330_475_452_36,8
0,36,0_486_424_103_36,8
0,36,0_10_210_157_452_36,8
0,36,0_225_81_330_475_452_36,8
0,37,0_444_57_37,6
0,37,0_444_493_91_37,6
0,38,0_444_493_142_38,5
0,38,0_444_493_167_142_38,8
0,38,0_444_461_9_354_38,8
0,39,0_444_461_39,6
0,39,0_486_68_448_457_39,7
0,40,0_444_493_167_163_40,7
0,40,0_486_76_163_40,8
0,40,0_225_139_473_40,8
0,40,0_444_493_422_345_163_40,8
0,40,0_248_379_182_333_349_40,8
0,41,0_363_2_89_41,8
0,41,0_486_475_90_89_41,8
0,41,0_271_488_54_173_41,8
0,41,0_248_14_89_41,8
0,41,0_444_57_365_14_89_41,8
0,41,0_486_68_14_89_41,8
0,41,0_486_475_316_252_41,8
0,41,0_271_299_89_41,8
0,42,0_444_493_167_163_42,6
0,42,0_486_76_163_42,7
0,42,0_444_493_422_345_163_42,7
0,43,0_486_289_383_158_43,8
0,43,0_248_97_383_158_43,8
0,43,0_444_493_422_229_158_43,8
0,44,0_486_68_448_44,7
0,44,0_444_388_372_44,8
0,44,0_486_76_6_44,8
0,44,0_444_328_294_335_6_44,8
0,44,0_248_328_294_335_6_44,8
0,44,0_486_242_207_448_44,8
0,44,0_10_81_44,8
0,44,0_248_442_398_44,8
0,44,0_225_81_44,8
0,45,0_10_210_331_45,9
0,45,0_486_68_448_457_268_45,10
0,45,0_491_110_268_45,10
0,45,0_486_68_331_45,10
0,46,0_486_289_99_46,9
0,46,0_486_242_46,9
0,47,0_363_489_47,6
0,47,0_225_59_317_92_489_47,9
0,47,0_225_123_363_489_47,9
0,48,0_248_379_182_427_324_48,9
0,48,0_444_493_167_163_429_85_324_48,9
0,48,0_444_388_50_270_324_48,9
0,48,0_486_289_174_427_324_48,9
0,48,0_10_251_85_324_48,9
0,48,0_118_427_324_48,9
0,49,0_444_493_422_303_124_49,8
0,49,0_248_97_479_384_49,8
0,50,0_444_388_50,5
0,50,0_361_388_50,6
0,51,0_486_424_51,6
0,51,0_444_430_424_51,8
0,51,0_486_289_82_180_206_51,8
0,51,0_10_251_424_51,8
0,51,0_248_97_479_384_206_51,8
0,52,0_486_242_52,7
0,52,0_248_97_368_52,7
0,53,0_444_493_422_53,6
0,53,0_486_289_82_180_53,8
0,53,0_225_123_422_53,8
0,54,0_271_488_54,6
0,54,0_444_388_11_488_54,8
0,54,0_444_493_399_332_54,8
0,54,0_486_224_332_54,8
0,55,0_444_493_422_345_55,8
0,55,0_486_68_448_222_55,9
0,55,0_444_493_167_163_345_55,9
0,56,0_444_493_142_38_26_56,7
0,56,0_248_97_134_416_56,9
0,56,0_248_97_368_385_449_56,9
0,56,0_10_210_109_415_56,9
0,56,0_486_68_416_56,9
0,56,0_444_328_134_416_56,9
0,56,0_486_463_192_282_26_56,9
0,56,0_248_328_134_416_56,9
0,57,0_444_57,4
0,57,0_10_210_57,6
0,58,0_486_68_297_234_58,8
0,58,0_444_493_91_37_58,8
0,58,0_444_57_37_58,8
0,59,0_225_59,5
0,59,0_10_81_225_59,7
0,60,0_486_68_127_60,8
0,60,0_486_242_127_60,9
0,61,0_10_454_61,9
0,61,0_444_67_263_61,10
0,61,0_118_263_61,10
0,61,0_248_379_182_263_61,10
0,61,0_486_454_61,10
0,62,0_10_251_409_357_62,7
0,62,0_486_68_297_375_357_62,8
0,62,0_444_461_9_62,8
0,63,0_271_63,4
0,63,0_486_242_63,8
0,63,0_444_388_50_63,8
0,64,0_271_488_11_64,7
0,64,0_486_424_64,7
0,64,0_444_388_11_64,7
0,65,0_444_430_114_65,7
0,65,0_486_424_430_114_65,7
0,66,0_271_63_66,7
0,66,0_486_242_100_66,8
0,67,0_444_67,6
0,67,0_248_379_182_263_67,8
0,67,0_486_76_450_128_477_67,8
0,67,0_118_263_67,8
0,68,0_486_68,4
0,68,0_486_242_207_448_68,7
0,68,0_486_242_127_68,7
0,68,0_10_210_331_68,7
0,69,0_486_463_312_69,8
0,69,0_444_67_338_69,8
0,70,0_10_380_378_70,8
0,70,0_225_367_378_70,8
0,70,0_10_251_409_378_70,8
0,70,0_363_380_378_70,8
0,71,0_486_71,8
0,71,0_248_379_247_71,9
0,72,0_486_289_383_72,6
0,72,0_248_97_383_72,6
0,73,0_486_424_425_428_469_73,8
0,73,0_444_328_294_469_73,9
0,73,0_491_261_73,9
0,73,0_444_493_422_229_213_428_469_73,9
0,73,0_486_289_174_428_469_73,9
0,73,0_444_493_273_298_73,9
0,73,0_248_328_294_469_73,9
0,73,0_248_379_182_498_73,9
0,73,0_225_123_498_73,9
0,73,0_486_68_297_234_287_73,9
0,74,0_486_224_74,6
0,74,0_486_242_74,7
0,75,0_444_493_422_53_75,7
0,75,0_445_140_75,8
0,75,0_248_97_284_181_75,8
0,76,0_486_76,4
0,76,0_444_493_167_163_76,7
0,77,0_444_493_422_77,7
0,77,0_486_76_6_77,8
0,77,0_248_328_294_335_6_77,8
0,77,0_444_328_294_335_6_77,8
0,78,0_444_493_142_38_354_288_78,8
0,78,0_486_76_450_214_78,8
0,78,0_486_68_448_214_78,8
0,78,0_486_463_187_78,8
0,79,0_363_489_79,7
0,79,0_486_68_127_194_79,7
0,80,0_444_328_134_80,7
0,80,0_248_328_134_80,7
0,80,0_248_97_134_80,7
0,80,0_363_489_80,7
0,81,0_10_81,4
0,81,0_225_81,4
0,82,0_486_289_82,5
0,82,0_248_97_383_289_82,7
0,83,0_444_57_365_14_83,9
0,83,0_248_14_83,9
0,83,0_486_68_14_83,9
0,84,0_248_97_284_84,7
0,84,0_444_493_301_394_84,9
0,84,0_486_107_434_394_84,9
0,84,0_10_380_394_84,9
0,84,0_363_380_394_84,9
0,85,0_444_493_167_163_429_85,7
0,85,0_10_251_85,7
0,86,0_248_379_182_333_349_86,8
0,86,0_444_493_422_53_165_86,8
0,87,0_248_328_437_87,6
0,87,0_271_488_87,6
0,87,0_444_328_437_87,6
0,88,0_271_63_88,7
0,88,0_486_242_63_88,11
0,88,0_486_242_106_88,11
0,88,0_444_388_50_63_88,11
0,89,0_486_68_14_89,7
0,89,0_271_299_89,7
0,89,0_486_475_90_89,7
0,89,0_248_14_89,7
0,89,0_363_2_89,7
0,89,0_444_57_365_14_89,7
0,90,0_486_475_90,6
0,90,0_10_81_330_475_90,7
0,90,0_225_81_330_475_90,7
0,91,0_444_493_91,5
0,91,0_486_289_153_91,6
0,92,0_363_489_92,6
0,92,0_225_59_317_92,7
0,93,0_10_210_109_93,7
0,93,0_444_493_142_93,7
0,94,0_225_414_364_446_94,8
0,94,0_444_67_263_94,9
0,94,0_118_263_94,9
0,94,0_486_76_446_94,9
0,94,0_444_493_422_303_94,9
0,94,0_248_379_182_263_94,9
0,94,0_248_97_479_364_446_94,9
0,95,0_444_493_399_95,7
0,95,0_486_424_103_95,7
0,96,0_444_57_96,8
0,96,0_118_96,8
0,97,0_248_97,3
0,97,0_486_289_383_97,7
0,97,0_444_328_248_97,7
0,98,0_10_210_98,5
0,98,0_444_493_399_98,6
0,99,0_486_289_99,7
0,99,0_225_59_439_99,8
0,99,0_486_424_425_439_99,8
0,99,0_271_407_99,8
0,100,0_486_242_100,6
0,100,0_486_68_127_242_100,9
0,100,0_486_107_100,9
0,100,0_486_68_448_207_242_100,9
0,100,0_271_63_66_100,9
0,101,0_486_68_127_101,6
0,101,0_486_242_127_101,7
0,101,0_225_123_101,7
0,102,0_444_493_301_102,7
0,102,0_225_139_473_301_102,8
0,102,0_444_461_301_102,8
0,103,0_486_424_103,5
0,103,0_10_251_424_103,7
0,103,0_444_430_424_103,7
0,104,0_10_210_476_104,6
0,104,0_486_408_151_104,7
0,105,0_248_97_479_105,7
0,105,0_10_251_479_105,8
0,106,0_486_242_106,5
0,106,0_271_488_11_106,8
0,106,0_486_68_127_242_106,8
0,106,0_486_68_448_207_242_106,8
0,106,0_444_388_11_106,8
0,107,0_486_107,5
0,107,0_225_139_107,8
0,108,0_361_403_108,7
0,108,0_271_403_108,7
0,109,0_10_210_109,6
0,109,0_444_493_142_93_109,8
0,109,0_225_81_10_210_109,8
0,109,0_486_408_109,8
0,109,0_444_57_210_109,8
0,110,0_491_110,6
0,110,0_486_68_448_457_268_110,8
0,111,0_271_63_232_111,8
0,111,0_271_488_184_119_232_111,9
0,111,0_225_139_119_232_111,9
0,112,0_10_251_423_120_112,11
0,112,0_10_210_331_480_112,11
0,112,0_225_81_323_120_112,11
0,112,0_444_493_273_480_112,11
0,112,0_225_139_119_423_120_112,11
0,112,0_271_488_184_119_423_120_112,11
0,112,0_10_81_323_120_112,11
0,113,0_10_210_98_113,10
0,113,0_444_430_433_28_113,10
0,113,0_486_424_430_433_28_113,10
0,114,0_486_424_430_114,6
0,114,0_444_430_114,6
0,115,0_486_107_115,7
0,115,0_225_367_378_115,9
0,115,0_225_414_115,9
0,115,0_248_97_383_158_310_19_115,9
0,115,0_363_380_378_115,9
0,115,0_10_380_378_115,9
0,115,0_444_493_167_163_339_115,9
0,115,0_486_289_383_158_310_19_115,9
0,115,0_444_493_422_229_158_310_19_115,9
0,115,0_10_251_409_378_115,9
0,115,0_248_442_398_339_115,9
0,116,0_491_122_116,8
0,116,0_10_251_409_357_116,9
0,117,0_10_210_476_104_117,8
0,117,0_486_408_151_104_117,9
0,118,0_118,5
0,118,0_444_67_263_118,9
0,118,0_248_379_182_427_118,9
0,118,0_486_475_90_118,9
0,118,0_486_289_174_427_118,9
0,118,0_248_379_182_263_118,9
0,119,0_271_488_184_119,6
0,119,0_225_139_119,6
0,120,0_10_251_423_120,8
0,120,0_271_488_184_119_423_120,8
0,120,0_225_139_119_423_120,8
0,120,0_10_81_323_120,8
0,120,0_225_81_323_120,8
0,121,0_444_328_121,8
0,121,0_248_328_437_87_121,8
0,121,0_271_488_87_121,8
0,121,0_486_424_425_428_469_121,8
0,121,0_248_328_121,8
0,121,0_491_261_121,8
0,121,0_444_328_437_87_121,8
0,121,0_10_392_121,8
0,122,0_491_122,6
0,122,0_486_68_127_101_122,9
0,122,0_248_97_368_385_122,9
0,122,0_444_388_11_366_122,9
0,122,0_271_488_11_366_122,9
0,123,0_225_123,4
0,123,0_10_81_225_123,6
0,123,0_444_493_422_123,6
0,124,0_444_493_422_303_124,7
0,124,0_225_59_124,8
0,125,0_444_493_167_125,6
0,125,0_486_424_425_428_125,8
0,126,0_486_289_381_126,8
0,126,0_486_289_227_126,9
0,126,0_444_493_167_160_381_126,9
0,126,0_10_210_157_381_126,9
0,127,0_486_68_127,5
0,127,0_486_242_127,6
0,128,0_486_76_450_128,6
0,128,0_444_67_477_128,8
0,128,0_248_328_128,8
0,128,0_486_68_448_214_450_128,8
0,128,0_444_328_128,8
0,129,0_225_123_129,8
0,129,0_248_379_182_333_349_478_129,9
0,130,0_225_59_130,9
0,130,0_444_461_9_130,9
0,131,0_486_242_100_131,9
0,131,0_10_210_476_313_131,10
0,131,0_486_289_383_72_490_131,10
0,131,0_248_97_383_72_490_131,10
0,131,0_10_251_409_357_62_131,10
0,131,0_444_430_131,10
0,131,0_444_493_167_125_131,10
0,131,0_248_379_182_333_131,10
0,131,0_486_424_430_131,10
0,132,0_486_424_425_428_132,7
0,132,0_444_493_167_163_42_132,7
0,133,0_444_493_167_465_133,7
0,133,0_444_493_301_133,7
0,134,0_248_97_134,6
0,134,0_444_328_134,6
0,134,0_248_328_134,6
0,135,0_486_242_207_217_135,8
0,135,0_10_210_135,9
0,135,0_486_68_448_207_217_135,9
0,135,0_444_493_422_77_135,9
0,136,0_486_408_136,9
0,136,0_10_454_136,10
0,137,0_118_137,7
0,137,0_248_328_294_218_137,9
0,137,0_444_328_294_218_137,9
0,137,0_444_67_336_137,9
0,138,0_486_68_127_194_79_138,8
0,138,0_363_489_79_138,8
0,139,0_225_139,5
0,139,0_271_488_184_119_139,7
0,139,0_225_81_330_139,7
0,139,0_10_81_330_139,7
0,139,0_10_81_225_139,7
0,140,0_445_140,7
0,140,0_444_493_422_53_165_140,8
0,140,0_444_493_422_53_75_140,8
0,141,0_486_424_430_433_141,7
0,141,0_444_430_433_141,7
0,142,0_444_493_142,4
0,142,0_444_493_167_142,7
0,143,0_363_293_304_143,8
0,143,0_486_289_381_304_143,8
0,143,0_248_328_294_304_143,8
0,143,0_444_328_294_304_143,8
0,144,0_486_289_383_72_490_144,9
0,144,0_248_97_383_72_490_144,9
0,144,0_361_403_144,9
0,144,0_363_293_177_144,9
0,144,0_271_403_144,9
0,145,0_248_97_284_145,7
0,145,0_248_97_479_145,7
0,146,0_225_81_323_146,8
0,146,0_10_81_323_146,8
0,147,0_444_493_167_163_40_147,8
0,147,0_444_493_422_345_163_40_147,9
0,147,0_248_379_182_333_349_40_147,9
0,147,0_444_493_142_38_354_288_78_147,9
0,147,0_225_139_473_40_147,9
0,147,0_486_76_450_214_78_147,9
0,147,0_486_68_448_214_78_147,9
0,147,0_486_463_187_78_147,9
0,147,0_486_76_163_40_147,9
0,148,0_486_424_148,6
0,148,0_444_430_424_148,8
0,148,0_10_251_424_148,8
0,148,0_486_408_483_148,8
0,149,0_248_97_383_72_149,8
0,149,0_486_424_103_95_149,8
0,149,0_486_289_383_72_149,8
0,149,0_444_493_399_95_149,8
0,150,0_248_97_383_72_490_150,8
0,150,0_486_289_383_72_490_150,8
0,151,0_486_408_151,6
0,151,0_10_210_476_104_151,7
0,152,0_486_289_82_152,8
0,152,0_486_152,9
0,153,0_486_289_153,5
0,153,0_444_493_91_153,6
0,154,0_10_154,7
0,154,0_225_81_10_154,9
0,154,0_444_493_422_53_154,9
0,155,0_155,8
0,155,0_486_76_450_451_155,8
0,156,0_444_388_50_270_156,7
0,156,0_361_388_50_270_156,8
0,157,0_10_210_157,5
0,157,0_225_81_10_210_157,7
0,157,0_444_57_210_157,7
0,158,0_248_97_383_158,6
0,158,0_444_493_422_229_158,6
0,158,0_486_289_383_158,6
0,159,0_444_493_167_163_40_159,10
0,159,0_486_76_163_40_159,11
0,159,0_248_379_182_333_349_40_159,11
0,159,0_444_493_422_345_163_40_159,11
0,159,0_225_139_473_40_159,11
0,160,0_444_493_167_160,6
0,160,0_486_463_192_160,7
0,160,0_486_289_381_160,7
0,161,0_486_475_161,6
0,161,0_10_81_330_475_161,7
0,161,0_225_81_330_475_161,7
0,162,0_444_493_422_345_162,8
0,162,0_271_403_179_162,9
0,162,0_361_403_179_162,9
0,162,0_225_139_320_162,9
0,162,0_444_493_167_163_345_162,9
0,163,0_444_493_167_163,5
0,163,0_486_76_163,6
0,163,0_444_493_422_345_163,6
0,164,0_486_242_164,6
0,164,0_10_210_157_164,8
0,165,0_444_493_422_53_165,7
0,165,0_445_140_165,8
0,166,0_225_59_317_393_166,10
0,166,0_248_379_247_275_166,10
0,166,0_486_242_342_166,10
0,166,0_271_488_54_332_458_166,10
0,166,0_486_224_332_458_166,10
0,166,0_444_493_91_393_166,10
0,166,0_444_493_167_163_40_254_166,10
0,166,0_486_424_430_433_236_393_166,10
0,166,0_444_461_458_166,10
0,166,0_444_493_399_332_458_166,10
0,166,0_444_430_433_236_393_166,10
0,167,0_444_493_167,4
0,167,0_486_76_163_167,7
0,167,0_444_493_422_345_163_167,7
0,167,0_444_493_142_167,7
0,168,0_444_388_372_309_168,10
0,168,0_486_68_202_168,10
0,169,0_486_242_342_169,9
0,169,0_486_68_127_101_369_169,9
0,170,0_271_488_184_4_170,9
0,170,0_444_328_294_170,9
0,170,0_248_328_294_170,9
0,171,0_486_68_127_60_171,9
0,171,0_486_475_90_171,9
0,172,0_225_139_320_172,7
0,172,0_271_488_87_172,7
0,172,0_444_328_437_87_172,7
0,172,0_248_328_437_87_172,7
0,173,0_271_488_54_173,7
0,173,0_444_493_167_163_42_31_173,8
0,174,0_486_289_174,6
0,174,0_486_424_425_428_174,7
0,175,0_486_424_425_175,6
